title,speakers,description,link,video,thumbnail
Using Office Open XML in Word Office Add-ins,Stephanie Krieger,"Learn how you can leverage Office Open XML to create amazing add-ins for Word! <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:3771029d28824682801ba5da00c4713a"" />",https://s.ch9.ms/Events/Build/2016/P550,Using_Office_Open_XML_in_Word_Office_Add-ins.mp4,http://video.ch9.ms/ch9/1c5d/4a1968aa-2a28-4c40-b9b3-a60a45c91c5d/P550_220.jpg
What's New in Word JavaScript APIs,Michael Saunders,"Check out the new&nbsp;APIs we're enabling for&nbsp;Word add-ins and use them across Office platforms! <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:779b4f80f8d3444c884ba5da00c4712b"" />",https://s.ch9.ms/Events/Build/2016/P549,What's_New_in_Word_JavaScript_APIs.mp4,http://video.ch9.ms/ch9/0d9f/21b16276-8bc0-4116-9a6a-d49435400d9f/P549_220.jpg
"Native iOS, Android, & Windows Apps from C# and XAML with Xamarin.Forms",James Montemagno,"Building cross-platform native UIs with one shared codebase was once just a dream. With Xamarin.Forms, this dream is now a reality. Xamarin.Forms allows you to build a native UI for three platforms with one shared C# codebase. During this session we will cover the Xamarin.Forms library to share up to 99% of your code across iOS, Android, and Windows Phone. Moreover, we will really focus on the code with several live coding adventures throughout the entire session. When you leave you will have the knowledge to create your first iOS, Android, and Windows Phone mobile apps in C# with Xamarin and Xamarin.Forms. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:7488db851eff47d789c8a5da00c470eb"" />",https://s.ch9.ms/Events/Build/2016/P548,"Native_iOS,_Android,_&_Windows_Apps_from_C_and_XAML_with_Xamarin.Forms.mp4",https://sec.ch9.ms/sessions/build/2016/P548.jpg
Selecting the Right VM Size,Jon Beck,"Azure provides a wide range of virtual machine sizes for any workload that you might want to run. Trying to decide which size is right for your workload can seem challenging. Join this session to find out about some of the considerations for selecting virtual machine sizes and learn the differences between different virtual machine size families and their regional availability. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:652e71306e334f78a3a0a5da00c470cd"" />",https://s.ch9.ms/Events/Build/2016/P523,Selecting_the_Right_VM_Size.mp4,http://video.ch9.ms/ch9/36a6/eab44ba7-d941-43ed-96a8-45d36cba36a6/P523_220.jpg
Building Multitenant SaaS Applications with Tenant Isolation and Unlimited Scale on Azure SQL Database,Torsten Grabs,"If you are a SaaS application developer writing multitenant applications, you often face tradeoffs between development efficiency, manageability, as well as tenant performance and security. With Azure SQL Database Elastic Database Pools and its Elastic Database capabilities, you no longer have to make that compromise. In this session, we will explore how Elastic Database Pools help you build, manage and monitor multitenant applications with tenant isolation and minimal TCO by placing each tenant in its own database. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:57dbdcba47494485a798a5da00c470c7"" />",https://s.ch9.ms/Events/Build/2016/P522,Building_Multitenant_SaaS_Applications_with_Tenant_Isolation_and_Unlimited_Scale_on_Azure_SQL_Database.mp4,http://video.ch9.ms/ch9/c3c4/a647b2fb-866d-4411-9cc1-3b58c002c3c4/P522_220.jpg
Modeling Data for NoSQL Document Databases,"Ryan CrawCour, David Makogon","Application developers must support unprecedented rates of change – functionality must rapidly evolve to meet customer needs and respond to competitive pressures. To address these realities, developers are increasingly selecting NoSQL document-oriented databases (e.g. Azure DocumentDB, MongoDB, CouchDB) for schema-free, scalable and high performance data storage. One of the oft-cited benefits of NoSQL solutions are that they allow for the storage of schema less data. In reality, however, NoSQL solutions provide for schema flexibility, allowing the system to store data as it comes in, permitting dissimilar structures and encouraging seamless data model iteration. While schema flexibility makes it easy to embrace changes to your data model, data modeling is still important in NoSQL systems. In this session, we’ll discuss not only modeling data in Azure DocumentDB, but also migrating and transforming data from traditional, structured data environments. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:4b264dafdca24ba1a0b0a5da00c470c0"" />",https://s.ch9.ms/Events/Build/2016/P468,Modeling_Data_for_NoSQL_Document_Databases.mp4,http://video.ch9.ms/ch9/2eac/a7ba727a-7bfa-4f44-ab87-5a440b702eac/P468_220.jpg
"HockeyApp for UWP Apps: Beta Distribution, Crash Reporting and User Metrics",Simina Pasat,"<p>In this video, you will learn how HockeyApp can help you in delivering and maintaining successful UWP apps. First, you will learn how to use HockeyApp to beta distribute your UWP app to testers. Then, you will find out how to get meaningful crash reports for your UWP apps in development, as well as for apps already published to the Store. HockeyApp also provides you with basic user metrics and custom events telemetry to help you understanding the adoption of your app and features.</p> <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:e3bf3cda96cc4a9face6a5da00c470ae"" />",https://s.ch9.ms/Events/Build/2016/P463,"HockeyApp_for_UWP_Apps_Beta_Distribution,_Crash_Reporting_and_User_Metrics.mp4",https://sec.ch9.ms/sessions/build/2016/P463.jpg
Managing Secrets for Azure Apps,Sumedh Barde,"Every serious app you deploy on Azure has critical secrets – connection strings, certificates, keys. Silly mistakes in managing these lead to fatal consequences – leaks, outages, compliance violations. As multiple recent surveys point out, silly mistakes cause 4 times more data breaches than adversaries. In this session we will go over some best practices to manage your important app secrets. These may seem like common sense, yet a lot of developers neglect them. We will also go over how to leverage Azure Key Vault to implement those best practices. As an added benefit, following these practices will also help you demonstrate compliance with standards such as SOC. The first ten minutes of the session are level 100 and they apply to any cloud app you develop on any platform. The remainder is level 200-300 and focuses on apps you build on the Azure platform. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:e5d0cfb0bb104e499baaa5da00c470a6"" />",https://s.ch9.ms/Events/Build/2016/P456,Managing_Secrets_for_Azure_Apps.mp4,https://sec.ch9.ms/sessions/build/2016/P456.jpg
Azure Monitoring & Diagnostics: Gain Deep Insights + Take Intelligent Actions,Ashwin Kamath,"Join us to learn more about Azure Monitoring services and the new features introduced at Build 2016, allowing you to gain deeper insights into the state and health of your Azure resources as well as the capabilities to take automated actions on the data. The talk will include new features for Alerts, Autoscale and Audit Logs <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:aa85de0bbfd6495ba71da5da00c4709d"" />",https://s.ch9.ms/Events/Build/2016/P437,Azure_Monitoring_&_Diagnostics_Gain_Deep_Insights_Take_Intelligent_Actions.mp4,http://video.ch9.ms/ch9/10d8/4cc2ecee-b260-4ac5-9420-0a19532b10d8/P437_220.jpg
Developing Custom Visuals for Power BI– Deep Dive,Lukasz Pawlowski,"Power BI Custom visuals enable you to create magical data experiences tailored to your user and your applications. We will work through everything you need to know to build quality custom visuals quickly. This deep dive (yes coding on stage!) will give you the tips and tricks you need to ensure your visuals run great, with high quality. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:e2ac3aba00944f008340a5da00c4706d"" />",https://s.ch9.ms/Events/Build/2016/P434,Developing_Custom_Visuals_for_Power_BI–_Deep_Dive.mp4,http://video.ch9.ms/ch9/fb8a/6934df43-bced-474c-816b-870a3a76fb8a/P434_220.jpg
Cortana Analytics Suite and Information Management,Matthew Roche,"Cortana Analytics Suite is a fully managed big data and advanced analytics suite that transforms your data into intelligent action. It includes information management, data storage, analytics and visualization capabilities along with APIs such as text analytics, facial recognition and others. This demo-driven session will show you how to manage all your on-premises and cloud data to ingest, prepare, transform, analyze, publish, and monitor information at scale as easily deployable and customizable solutions. Learn about the tools to enhance your applications with machine intelligence to evolve from simple descriptive analytics to prescriptive recommendations. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:11fc52af83b74f43beeba5da00c4703c"" />",https://s.ch9.ms/Events/Build/2016/P429,Cortana_Analytics_Suite_and_Information_Management.mp4,http://video.ch9.ms/ch9/80cc/bc83f425-0b2e-49d2-83ec-5464061780cc/P429_220.jpg
Building Intelligent Applications Using the Cortana Analytics Process,"Wee Hyong Tok, Gopi Kumar","Learn how the Cortana Analytics Process empowers you with a systematic approach to understand your raw data, and transform it into actions you can embed in intelligent applications. We will walk through the Cortana Analytics Process using a real-life large publicly available New York City (NYC) Taxi dataset that consists of 1.1 billion NYC taxi rides taken from January 2009 to June 2015. You will learn how to use JuPyter notebooks to explore the data to derive insights and use Azure Machine Learning to create predictive models that can power intelligent applications. You will learn how to operationalize your model as a web service, and integrate it with an application. Using these process and the walkthroughs you can gain the skills to design, build and operationalize you own intelligent solutions powered by Cortana Analytics Suite using an iterative and methodical approach. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:ffe9d91ecafb481e8003a5da00c47020"" />",https://s.ch9.ms/Events/Build/2016/P421,Building_Intelligent_Applications_Using_the_Cortana_Analytics_Process.mp4,http://video.ch9.ms/ch9/4d86/3d9c9882-880b-4596-852d-4126829b4d86/P421_220.jpg
Azure Data Lake Deep Dive,Saveen Reddy,"<img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:03b675d80e09447bb6b4a5da00c46fcf"" />",https://s.ch9.ms/Events/Build/2016/P413,Azure_Data_Lake_Deep_Dive.mp4,http://video.ch9.ms/ch9/c2b4/1368c2bc-d7cb-4770-85f5-95e3030ec2b4/P413_220.jpg
Field: Japan Recap Part 2,Akira Inoue,"<p>Field: Japan Recap Part 2</p> <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:cf9997677b1e41d98d4da5da000904fe"" />",https://s.ch9.ms/Events/Build/2016/Field-Japan-Recap-Part-2,Field_Japan_Recap_Part_2.mp4,http://video.ch9.ms/ch9/0b83/3c19c06c-e555-431a-bc3e-da9ae5a40b83/C9Live012JapanRecap02_220.jpg
Field: Japan Recap Part 1,Akira Inoue,"<p>Field: Japan Recap Part 1</p> <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:3c5c1515d1b9444f9beaa5da0007defa"" />",https://s.ch9.ms/Events/Build/2016/Field-Japan-Recap-Part-1,Field_Japan_Recap_Part_1.mp4,http://video.ch9.ms/ch9/a552/3b140ce7-e937-491f-a839-72ea4ddaa552/C9LIVE011JapanRecap01_220.jpg
Panel: Engineering Quality,"Charles Torre, Yosef Durr, Jonathan Lipps","<p>Jonathan Lipps, Director of Engineering&nbsp;at Sauce Labs, joins Yosef Durr, Program Manager of the Windows Application Driver project, and&nbsp;Charles to discuss Appium support on Windows.</p><p>Windows Application Driver: <a href=""https://github.com/microsoft/winappdriver"">https://github.com/microsoft/winappdriver</a></p><p>Appium:<a href=""http://appium.io/"">http://appium.io/</a></p> <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:b4d92fad6e494963901ba5da0005a8b1"" />",https://s.ch9.ms/Events/Build/2016/Panel-Engineering-Quality,Panel_Engineering_Quality.mp4,http://video.ch9.ms/ch9/4733/e03b8d7e-65f1-4d97-824a-5a7f0be04733/C9LIVE009PanelEngineeringQuality_220.jpg
NPR Xbox UWP,Ben Schein,"<p>NPR Xbox UWP</p> <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:39f8c3e15b7a4fafbb5ba5d9014f3faa"" />",https://s.ch9.ms/Events/Build/2016/NPR-Xbox-UWP,NPR_Xbox_UWP.mp4,http://video.ch9.ms/ch9/addd/4e6a07d8-80af-4c74-931c-140d57c9addd/CH9LIVE002NPRxboxUWP_220.jpg
Field: Belgium Recap,"Nick Trogh, Peter Maynard","<p>Field: Belgium Recap</p> <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:dee4512bfa5847f19f69a5d90150428c"" />",https://s.ch9.ms/Events/Build/2016/Field-Belgium-Recap,Field_Belgium_Recap.mp4,http://video.ch9.ms/ch9/5958/d1e6393b-f81f-4a04-a341-f7a7973d5958/C9LIVE003BelgiumRecap_220.jpg
Microsoft Translator: Speech Translation Made Easy,Chris Wendt,"<img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:b1a94ed26c16414eacc3a5d900c2a64c"" />",https://s.ch9.ms/Events/Build/2016/P577,Microsoft_Translator_Speech_Translation_Made_Easy.mp4,http://video.ch9.ms/ch9/be76/d16d40f5-f9cd-47b2-bebc-b4e2b2a0be76/P577_220.jpg
Windows SDK for Facebook,Anand Lakshminarayan,"The Windows SDK for Facebook is an open source implementation of Facebook’s Graph API that allows developers to integrate Facebook login/social features into their UWP apps. Through this presentation and demo video, understand how to set up an app with Facebook Login, utilize the Dialogs to Share to the user’s timeline, and make Graph API requests with the SDK. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:8dc56b828e224d428a1ba5d900c2a642"" />",https://s.ch9.ms/Events/Build/2016/P544,Windows_SDK_for_Facebook.mp4,http://video.ch9.ms/ch9/92b1/e21d21fe-db74-42f8-89f0-5e165e2392b1/P544_220.jpg
Windows 10 Apps: Designing for Global Customers,"Cameron Lerum, Stephanie Schuh","Take your Windows 10 UWP app to the four corners of the globe using Visual Studio 2015 &#43; Multilingual App Toolkit. Integrated localization workflow makes reaching the next 1 billion customer just a few clicks away - allow you to focus on delivering great features. This session will cover the steps and tooling necessary to localization to your Windows 10 apps to reach your target audience. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:cf02010a19dd49918c4da5d900c2a635"" />",https://s.ch9.ms/Events/Build/2016/P543,Windows_10_Apps_Designing_for_Global_Customers.mp4,http://video.ch9.ms/ch9/cbac/b586b66a-27fb-47a0-8000-419ac439cbac/P543_220.jpg
Windows Calls Applications,"Bayo Olatunji, Sage Schreiner","Introduction to creating a dialing application using Windows 10 public calling APIs, and a walkthrough of the Github sample app. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:0e0a92cb61e240d08ffaa5d900c2a62c"" />",https://s.ch9.ms/Events/Build/2016/P542,Windows_Calls_Applications.mp4,http://video.ch9.ms/ch9/c187/3d891914-81b8-4b1b-aed6-8e619a7dc187/P542_220.jpg
Accessibility on Windows 10,Mariah Dunn,"Learn the main design principles for building accessible apps including, common control usage, keyboard accessibility, programmatic accessibility and respecting the user settings, as well as some accessibility solutions on Windows 10 including Narrator, High Contrast, Magnifier, Windows Speech Recognition and Closed Captions. This is an introduction to accessibility concepts for developers on Windows. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:10cb9fd715fd43d6a409a5d900c2a617"" />",https://s.ch9.ms/Events/Build/2016/P541,Accessibility_on_Windows_10.mp4,http://video.ch9.ms/ch9/3ce2/363c81e7-600b-4cab-bf71-21054e8c3ce2/P541_220.jpg
What’s New with Bing APIs v5,Ryan Becker,"Get the power of Bing.com, available to you as an API!&nbsp;Learn about the new features provided with the offering and how to take advanantage of the capabilities to light up your own scenarios. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:1bed80b4b5294d38a7f1a5d900c2a60b"" />",https://s.ch9.ms/Events/Build/2016/P540,What’s_New_with_Bing_APIs_v5.mp4,http://video.ch9.ms/ch9/5717/492ff620-9168-4bf1-be24-720b1ef45717/P540_220.jpg
U-SQL in Azure Data Lake – HyperScale Data Processing for the .NET Developer,Michael Rys,"SQL and .NET has been a favorite language for developers and DBAs for decades. However over the last couple of years, data processing is increasingly moving towards Big Data processing and is posing some new demands on not just scalability but also the ability to query late-structured data with custom algorithms. The new Azure Data Lake Analytics is introducing a new SQL-based language called U-SQL that combines the familiarity of SQL with new extensions for Big Data processing and easier user-extensibility. This session shows how to build big data solutions with U-SQL. You will learn how to integrate C# and .NET code to extend the power of U-SQL with C# Expressions. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:967fae959c1146a2956ea5d900c2a5f5"" />",https://s.ch9.ms/Events/Build/2016/P536,U-SQL_in_Azure_Data_Lake_–_HyperScale_Data_Processing_for_the_.NET_Developer.mp4,http://video.ch9.ms/ch9/6187/074f3485-72ef-4aec-bc09-3ad129946187/P536_220.jpg
Spatial Data Management and Visualization with Bing Maps,Johannes Kebeck,"With ever increasing amounts of connected &quot;things&quot; and volumes of data, visual representations are often key to decode the meaning behind the data and make better informed decision. The geospatial and temporal contexts provide us with additional dimensions to pivot and understand the data. In this session we have a quick look at Microsoft products and services that make spatial not special before we dive into new features in Bing Maps and Spatial Data Services that allow us to manage and visualize geospatial data in the Microsoft Cloud and make them accessible across devices. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:ab437d01310243568941a5d900c2a5da"" />",https://s.ch9.ms/Events/Build/2016/P529,Spatial_Data_Management_and_Visualization_with_Bing_Maps.mp4,http://video.ch9.ms/ch9/1cc3/96bbed92-26d6-4c90-b517-1001154b1cc3/P529_220.jpg
Spatial Audio with AudioGraph in UWP,Steven Wilssens,"In the next release of Windows, we will bring spatial audio to UWP developers. Xbox, Windows Desktop, HoloLens, and Windows Mobile app developers will be able to add Spatial Audio to their UWP applications either directly from their app or through a Unity plugin. During this session you will learn how the AudioGraph API works, how you can add Spatial Audio to your app, game, or experience. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:973d13e0ee644dacb228a5d900c2a5ba"" />",https://s.ch9.ms/Events/Build/2016/P527,Spatial_Audio_with_AudioGraph_in_UWP.mp4,http://video.ch9.ms/ch9/585f/1792a94e-7d8a-4f6d-8862-3e758d29585f/P527_220.jpg
"TracePoints, a Better Way to console.log",Andy Sterland,"In this talk we’ll look at using the F12 Edge Dev Tools to instrument code just like you would with console.log but without having to redeploy your site. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:6d35906ffcfd4ea79348a5d900c2a5a6"" />",https://s.ch9.ms/Events/Build/2016/P518,"TracePoints,_a_Better_Way_to_console.log.mp4",http://video.ch9.ms/ch9/3f71/99217b5f-f111-4398-9fc9-0bdefba63f71/P518_220.jpg
Debugging Events in Edge,Andy Sterland,"In this talk we’ll look at how you can be more productive debugging events with the F12 Edge Dev Tools. Specifically, we’ll be looking at setting breakpoints on events, tracing them and figuring out which events are hooked up to an element. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:fc0dbd8ad2224bd3844da5d900c2a59e"" />",https://s.ch9.ms/Events/Build/2016/P517,Debugging_Events_in_Edge.mp4,http://video.ch9.ms/ch9/3bb9/ba50b880-b5a9-4d6e-b35d-d6bcf2083bb9/P517_220.jpg
Tips for Working with CSS in the Edge Dev Tools,Andy Sterland,"In this talk we’ll look at some features in the F12 Edge Dev Tools that will make working with CSS that little bit easier. Specifically we’ll be looking at the track changes and CSS editing features in the dev tools. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:f1bac7fc3f5543afbf18a5d900c2a596"" />",https://s.ch9.ms/Events/Build/2016/P515,Tips_for_Working_with_CSS_in_the_Edge_Dev_Tools.mp4,http://video.ch9.ms/ch9/4749/6e8b2ac7-840b-4e4c-913f-46b004004749/P515_220.jpg
Windows Hello in Microsoft Edge,Anoosh Saboori,"Windows Hello already offers Windows 10 users a secure password alternative for accessing business networks, apps, and SaS applications and now we’re adding new support that will enable users to use Windows Hello for passwordless sign-in to their favorite websites using Microsoft Edge. Come join us to learn how to update your website to support strong authentication and passwordless authentication using Windows Hello. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:8d9e38c1df5e41b48b8ca5d900c2a58a"" />",https://s.ch9.ms/Events/Build/2016/P514,Windows_Hello_in_Microsoft_Edge.mp4,http://video.ch9.ms/ch9/353e/770234a6-18f1-48f1-b817-476dad44353e/P514_220.jpg
"Improving JavaScript Frameworks, Edge, & UWP Web Apps",John-David Dalton,"Get an inside look at how the Edge team prevents regressions in, and expands support of, JavaScript frameworks in the browser and UWP web apps. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:5a163efa2a5740e1b2eda5d900c2a581"" />",https://s.ch9.ms/Events/Build/2016/P513,"Improving_JavaScript_Frameworks,_Edge,_&_UWP_Web_Apps.mp4",http://video.ch9.ms/ch9/11df/bd12e635-d2bb-4ad3-b98b-16c3751d11df/P513_220.jpg
User Segmentation and Targeted Push Notifications for UWP Apps,Yamil Hernandez,"Engaging with your user base at the right time and with the appropriate message is key to your success as an app developer. Windows Dev Center provides a data-driven customer engagement platform that UWP app developers can leverage to create segments of customers, share relevant information using push notifications and measure the effectiveness of your communications. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:0c2d7016aba749948d7ba5d900c2a575"" />",https://s.ch9.ms/Events/Build/2016/P512,User_Segmentation_and_Targeted_Push_Notifications_for_UWP_Apps.mp4,http://video.ch9.ms/ch9/4b01/d7dafd66-a0ed-453a-8174-5e962a5c4b01/P512_220.jpg
Promote Your App: New Tools to Grow Audience for Your App,Kiran Bangalore,"Acquiring customers for your app can be a challenge. Microsoft provides a &quot;Promote your app&quot; service that will allow you to attract customers using free or paid campaigns. The video shows how simple it is to create a campaign and optimize for acquisitions, and demonstrates two new ways of acquiring customers: community ad campaigns and re-engagement ad campaigns. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:36c4ee22aaee4390a7f1a5d900c2a56c"" />",https://s.ch9.ms/Events/Build/2016/P511,Promote_Your_App_New_Tools_to_Grow_Audience_for_Your_App.mp4,http://video.ch9.ms/ch9/cf75/a5168144-8637-4775-9b44-d6a67151cf75/P511KiranBangalorePromoteYourAppNewToolstoGrowAud_220.jpg
Advanced Multi-User Capabilities in Dev Center,Victor Soto,"This presentation covers the capabilities that allow multiple users to access a Dev Center account to manage apps and collaborate. Learn how to create and link an Azure AD from Dev Center, and how to manage access control - From a basic model all the way to the new advanced mode with app-level granularity. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:89fb27c8787246ab9fcea5d900c2a558"" />",https://s.ch9.ms/Events/Build/2016/P509,Advanced_Multi-User_Capabilities_in_Dev_Center.mp4,http://video.ch9.ms/ch9/4403/69e6d1db-4216-43df-97bb-041612644403/P509_220.jpg
