title,speakers,description,link,video,thumbnail
TypeScript and Angular 2,"Brad Green, Miško Hevery","<p>TypeScript and Angular 2</p> <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:a424d7245c6546cd975da5db0007f621"" />",https://s.ch9.ms/Events/Build/2016/TypeScript-and-Angular-2,TypeScript_and_Angular_2.mp4,http://video.ch9.ms/ch9/9372/f7342f0f-d302-4c9e-a913-79b6dc5d9372/C9LIVE026TypeScriptandAngular2_220.jpg
Converting your desktop app to use the Universal Windows Platform (Project Centennial),"John Sheehan, Stefan Wick, David Tepper","<p>Converting your desktop app to use the Universal Windows Platform (Project Centennial)</p> <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:30874fe4256a4f1fb6d0a5da018a511b"" />",https://s.ch9.ms/Events/Build/2016/Converting-your-desktop-app-to-use-the-Universal-Windows-Platform-Project-Centennial,Converting_your_desktop_app_to_use_the_Universal_Windows_Platform_(Project_Centennial).mp4,http://video.ch9.ms/ch9/868f/326a2a5b-958e-4b14-b582-fa588b5c868f/C9LIVE024ConvertingtoUseUWP_220.jpg
Application Insights,"Seth Juarez, Merav Davidson, A.S. Sivakumar","<p>Application Insights&nbsp;</p> <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:3e6161040a454ca2b63aa5da01579c86"" />",https://s.ch9.ms/Events/Build/2016/App-Insights-and-HockeyApp,Application_Insights.mp4,http://video.ch9.ms/ch9/babf/b087adb7-c9f1-4d6d-b822-f7d3e8a9babf/C9LIVE022AppInsightsandHockeyApp_220.jpg
Field: Brazil Recap,Marlon Luz,"<p>Field: Brazil Recap</p> <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:df5916c125324452bb2da5da015419b0"" />",https://s.ch9.ms/Events/Build/2016/Field-Brazil-Recap,Field_Brazil_Recap.mp4,http://video.ch9.ms/ch9/9f57/66421b8d-f700-45f0-9257-bbd98ee29f57/C9Live021BrazilRecap_220.jpg
International Space Station Project,"John Shewchuk, Steven Guggenheimer","<p>International Space Station Project</p> <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:0da95ba60bec46b589cfa5da014aaa78"" />",https://s.ch9.ms/Events/Build/2016/GS102,International_Space_Station_Project.mp4,http://video.ch9.ms/ch9/4d9f/4ba461bf-a2f6-49d6-af6b-30b836914d9f/C9LIVE016InternationalSpaceStationProject_220.jpg
Build Keynote Review with Guggs and Shewchuck,"John Shewchuk, Seth Juarez, Steven Guggenheimer","<p>Keynote Review</p> <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:0c81a7b092f6460097bba5da013603da"" />",https://s.ch9.ms/Events/Build/2016/GS101,Build_Keynote_Review_with_Guggs_and_Shewchuck.mp4,http://video.ch9.ms/ch9/1b16/bed30b8b-28f0-4edd-9531-c5c8fa111b16/C9LIVE017KeynoteReview_220.jpg
Docker Tooling for Visual Studio and ASP.NET Core,"Michael Friis, Steve Lasker, Dan Fernandez, Patrick Chanezon","<p>Docker Tooling for Visual Studio and ASP.NET Core</p> <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:e6e050960ff647e68a0ea5da01372846"" />",https://s.ch9.ms/Events/Build/2016/Docker-Tooling-for-Visual-Studio-and-ASPNET-Core,Docker_Tooling_for_Visual_Studio_and_ASP.NET_Core.mp4,http://video.ch9.ms/ch9/5153/3146f681-fc7e-43e3-9b08-dacc32b85153/C9LIVE018DockerToolingforVSandASPNETCore_220.jpg
Building Scalable and Performant Apps using Linux and OSS on Microsoft Azure,Madhan Arumugam,"Given prior history, Microsoft, Linux and OSS are not the terms you see often together in one sentence but the times have changed. In this session we will show how the new Microsoft is changing this perception and why Microsoft Azure is a great place to build and run your Linux and OSS apps and workloads. We will outline our strategy and showcase some of the patterns and practices for building great apps using Linux and OSS on Microsoft Azure. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:efd3e6d51a46400eb726a5da00c4727c"" />",https://s.ch9.ms/Events/Build/2016/P583,Building_Scalable_and_Performant_Apps_using_Linux_and_OSS_on_Microsoft_Azure.mp4,http://video.ch9.ms/ch9/ac47/bfbfd424-2daa-4af6-877a-588b4696ac47/P583_220.jpg
Introduction to Azure Table Storage,Gus Apostol,"Azure Table storage offers highly available, massively scalable storage so that your application can automatically scale to meet user demand. Azure Table Storage is Microsoft’s NoSQL key/attribute store – it has a schema-less design, making it different from traditional relational databases. With a schema-less data store, it's easy to adapt your data as the needs of your application evolve. Azure Table Storage is easy to use, so developers can create applications quickly. We will present introductory design concepts and demonstration to get the best out of the Azure Table Storage service. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:faccd66fdbff4e908ba9a5da00c47255"" />",https://s.ch9.ms/Events/Build/2016/P582,Introduction_to_Azure_Table_Storage.mp4,https://sec.ch9.ms/sessions/build/2016/P582.jpg
Continuous Testing in Team Services,Gopinath Chigakkari,"Want to offload your Testing? In the new DevOps world it is important to ship products faster with great quality, VSTS has tools to setup DevOps pipeline to achieve these goals. As part of the pipeline, you can configure testing in both Continuous Integration and Continuous Delivery workflows. VSTS supports testing any kind of application (.NET, Java, JavaScript, Android, iOS) with any test framework and provides actionable test results. In this session you can learn about how to configure Continuous Testing in CI/CD workflow. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:62afaa4b5b854725b91aa5da00c4724e"" />",https://s.ch9.ms/Events/Build/2016/P581,Continuous_Testing_in_Team_Services.mp4,https://sec.ch9.ms/sessions/build/2016/P581.jpg
Iterating and Experimenting with Azure App Service,Brady Gaster,"<img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:b9438cc239f9449ab99ba5da00c47247"" />",https://s.ch9.ms/Events/Build/2016/P580,Iterating_and_Experimenting_with_Azure_App_Service.mp4,https://sec.ch9.ms/sessions/build/2016/P580.jpg
Moving to the Cloud,"Narayan Annamalai, Siva Edupuganti","Benefits of moving your applications to cloud. Realize the simplicity &amp; flexibility of managing your infrastructure. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:5f28de11c52f4d2489e2a5da00c4720e"" />",https://s.ch9.ms/Events/Build/2016/P576,Moving_to_the_Cloud.mp4,http://video.ch9.ms/ch9/eba9/d64a3013-6f36-4019-a331-5bc38bd0eba9/P576_220.jpg
How to Deploy Office Add-ins within Your Organization,Juan Balmori Labra,"Learn about new capabilities to allow Administrators to deploy Office&nbsp;Add-Ins from a central location with Azure Active Directory Groups. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:f280dca893364de5b8f3a5da00c47200"" />",https://s.ch9.ms/Events/Build/2016/P574,How_to_Deploy_Office_Add-ins_within_Your_Organization.mp4,http://video.ch9.ms/ch9/1bda/886339b9-1882-446e-a43d-8a89cd5b1bda/P574_220.jpg
What's New in the People API on the Microsoft Graph,Edward Thiele,"People API helps you build people centric applications with an endpoint that supports contextual search and fuzzy matching and returns the people that matter most. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:ca1954f822704822b844a5da00c471ed"" />",https://s.ch9.ms/Events/Build/2016/P571,What's_New_in_the_People_API_on_the_Microsoft_Graph.mp4,http://video.ch9.ms/ch9/9a32/bbf7452f-cb2c-496e-a94a-03282d839a32/P571_220.jpg
Microsoft Graph Overview,Yina Arenas,"Use the Microsoft Graph to build smarter apps&nbsp;that connect with Office data and insights. Make your app context aware and easily&nbsp;build people and&nbsp;group centric&nbsp;experiences&nbsp;interacting with documents, messages,&nbsp;meetings, conversations, tasks and more. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:2e0a32307127410a8dd1a5da00c471d8"" />",https://s.ch9.ms/Events/Build/2016/P569,Microsoft_Graph_Overview.mp4,http://video.ch9.ms/ch9/7b8a/cc0e9395-a79b-46c0-9d96-2c43b9157b8a/P569_220.jpg
Connecting to Outlook Direct Endpoint with Azure AD Auth v2,Matthias Leibmann,"Come learn how to use v2.0&nbsp;authorization&nbsp;model &#43; Outlook and Microsoft Graph APIs to target 100s of millions of Outlook.com users and 10s of millions of Office 365 users! <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:7952584256b44e969404a5da00c471d0"" />",https://s.ch9.ms/Events/Build/2016/P568,Connecting_to_Outlook_Direct_Endpoint_with_Azure_AD_Auth_v2.mp4,http://video.ch9.ms/ch9/d3e7/a6664566-90b9-4dc8-b1f7-8cb6f110d3e7/P568_220.jpg
Introducing Outlook Tasks in the Outlook Direct Endpoint,Deepak Singh,"Interested in&nbsp;using Outlook tasks in your app?&nbsp; Come learn about our new Outlook Tasks API in preview. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:f003a2ddf4d24939aee1a5da00c471c8"" />",https://s.ch9.ms/Events/Build/2016/P567,Introducing_Outlook_Tasks_in_the_Outlook_Direct_Endpoint.mp4,http://video.ch9.ms/ch9/d031/ddd89e20-33ea-4a8d-8ecf-fd89804fd031/P567_220.jpg
